canonical_endpoint_key	threshold	n	actual_transfer	predicted_transfer	macro_f1	accuracy	transfer_precision	transfer_recall
oral_bioavailability.absolute.percent	0.0000000000	68520	20789	68520	0.232776	0.303400	0.303400	1.000000
oral_bioavailability.absolute.percent	0.0416666667	68520	20789	64224	0.296995	0.337726	0.308561	0.953245
oral_bioavailability.absolute.percent	0.0833333333	68520	20789	52008	0.411440	0.413733	0.313663	0.784694
oral_bioavailability.absolute.percent	0.1250000000	68520	20789	30943	0.523497	0.552102	0.340012	0.506085
oral_bioavailability.absolute.percent	0.1666666667	68520	20789	17888	0.563328	0.646162	0.403399	0.347107
oral_bioavailability.absolute.percent	0.2083333333	68520	20789	15005	0.566872	0.665674	0.429390	0.309924
oral_bioavailability.absolute.percent	0.2500000000	68520	20789	14487	0.566948	0.668885	0.434458	0.302756
oral_bioavailability.absolute.percent	0.2916666667	68520	20789	14416	0.567390	0.669658	0.435974	0.302323
oral_bioavailability.absolute.percent	0.3333333333	68520	20789	14409	0.567391	0.669702	0.436047	0.302227
oral_bioavailability.absolute.percent	0.3750000000	68520	20789	14402	0.567316	0.669688	0.435981	0.302035
oral_bioavailability.absolute.percent	0.4166666667	68520	20789	13307	0.563929	0.673993	0.441798	0.282794
oral_bioavailability.absolute.percent	0.4583333333	68520	20789	11083	0.549294	0.678225	0.443201	0.236279
oral_bioavailability.absolute.percent	0.5000000000	68520	20789	9389	0.535662	0.681057	0.443285	0.200202
oral_bioavailability.absolute.percent	0.5416666667	68520	20789	8107	0.526291	0.684705	0.449735	0.175381
oral_bioavailability.absolute.percent	0.5833333333	68520	20789	6952	0.511760	0.684691	0.441312	0.147578
oral_bioavailability.absolute.percent	0.6250000000	68520	20789	5936	0.504095	0.688602	0.453841	0.129588
oral_bioavailability.absolute.percent	0.6666666667	68520	20789	4480	0.494775	0.696074	0.495982	0.106883
oral_bioavailability.absolute.percent	0.7083333333	68520	20789	3741	0.485232	0.697402	0.507351	0.091298
oral_bioavailability.absolute.percent	0.7500000000	68520	20789	2629	0.463902	0.696176	0.494485	0.062533
oral_bioavailability.absolute.percent	0.7916666667	68520	20789	1718	0.451079	0.698614	0.540163	0.044639
oral_bioavailability.absolute.percent	0.8333333333	68520	20789	924	0.437769	0.700131	0.630952	0.028044
oral_bioavailability.absolute.percent	0.8750000000	68520	20789	672	0.430860	0.699314	0.638393	0.020636
oral_bioavailability.absolute.percent	0.9166666667	68520	20789	278	0.419942	0.698147	0.690647	0.009236
oral_bioavailability.absolute.percent	0.9583333333	68520	20789	252	0.419019	0.697971	0.686508	0.008322
oral_bioavailability.absolute.percent	1.0000000000	68520	20789	182	0.416699	0.697592	0.686813	0.006013
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.0000000000	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.0416666667	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.0833333333	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.1250000000	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.1666666667	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.2083333333	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.2500000000	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.2916666667	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.3333333333	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.3750000000	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.4166666667	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.4583333333	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.5000000000	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.5416666667	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.5833333333	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.6250000000	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.6666666667	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.7083333333	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.7500000000	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.7916666667	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.8333333333	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.8750000000	15	2	15	0.117647	0.133333	0.133333	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.9166666667	15	2	7	0.603175	0.666667	0.285714	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.9583333333	15	2	0	0.464286	0.866667	0.000000	0.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	1.0000000000	15	2	0	0.464286	0.866667	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.0000000000	3	3	3	0.500000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.0416666667	3	3	3	0.500000	1.000000	1.000000	1.000000
